Benchmark, -nofinline -nodeadcode, -finline -nodeadcode, -nofinline -deadcode, -finline -deadcode
GeneralFunctAndOptimize, 15.40, 15.00, 15.07, 15.40, 14.67
hailstone, 0.00, 0.00, 0.00, 0.00, 0.00
hanoi_benchmark, 69.82, 69.82, 69.82, 69.82, 69.82
killerBubbles, 31.92, 25.51, 31.92, 31.92, 25.50
mile1, 0.18, 0.18, 0.18, 0.18, 0.18
mixed, 14.34, 13.54, 7.98, 14.34, 6.62
OptimizationBenchmark, 0.15, 0.15, 0.12, 0.15, 0.12
primes, 1.40, 1.40, 1.38, 1.40, 1.38
programBreaker, 0.04, 0.04, 0.04, 0.02, 0.02
stats, 0.00, 0.00, 0.00, 0.00, 0.00
tailFib, 29.52, 29.53, 29.53, 21.82, 21.82
TicTac, 0.00, 0.00, 0.00, 0.00, 0.00
uncreativeBenchmark, 0.00, 0.00, 0.00, 0.00, 0.00
wasteOfCycles, 0.00, 0.00, 0.00, 0.00, 0.00

Benchmark, -noopt, -finline, -deadcode, -tailcall, -allopt
argumentSpill, 0.00, 0.00, 0.00, 0.00, 0.00
BenchMarkishTopics, 0.00, 0.00, 0.00, 0.00, 0.00
bert, 0.00, 0.00, 0.00, 0.00, 0.00
biggest, 0.00, 0.00, 0.00, 0.00, 0.00
binaryConverter, 11.35, 11.35, 11.35, 11.35, 11.35
creativeBenchMarkName, 12.99, 12.99, 12.99, 12.98, 12.99
divide, 0.00, 0.00, 0.00, 0.00, 0.00
fact_sum, 0.00, 0.00, 0.00, 0.00, 0.00
Fibonacci, 28.51, 28.51, 28.51, 28.51, 28.51
GeneralFunctAndOptimize, 15.40, 15.00, 15.08, 15.40, 14.68
hailstone, 0.00, 0.00, 0.00, 0.00, 0.00
hanoi_benchmark, 69.82, 69.84, 69.82, 57.24, 57.24
killerBubbles, 31.93, 25.51, 31.93, 31.93, 25.51
mile1, 0.18, 0.18, 0.18, 0.18, 0.18
mixed, 14.35, 13.54, 7.98, 14.28, 6.56
OptimizationBenchmark, 0.15, 0.15, 0.12, 0.15, 0.12
primes, 1.40, 1.39, 1.38, 1.40, 1.38
programBreaker, 0.04, 0.04, 0.04, 0.02, 0.02
stats, 0.00, 0.00, 0.00, 0.00, 0.00
tailFib, 29.53, 29.52, 29.53, 21.82, 21.82
TicTac, 0.00, 0.00, 0.00, 0.00, 0.00
uncreativeBenchmark, 0.00, 0.00, 0.00, 0.00, 0.00
wasteOfCycles, 0.00, 0.00, 0.00, 0.00, 0.00
